{0} documents,{0} documenten
VAT exempt for EEA intra-community supply,Vrijgesteld van btw voor intracommunautaire levering binnen de EER
VAT Number,Btw-nummer
Vat Reverse Charge,Btw verlegd
Verification,Verificatie
Verification Already Finalized,Verificatie is al voltooid
Verification Already in Progress,Verificatie is al in uitvoering
Verification Could Not Be Completed,Verificatie kon niet worden voltooid
Verification data could not be loaded.,Verificatiedata konden niet worden geladen.
Verification in Progress,Verificatie in uitvoering
Verification link sent,Verificatie-link verzonden
Verification Rejected,Verificatie geweigerd
Verification status could not be loaded.,Verificatiestatus kon niet worden geladen.
Verification Successful,Verificatie succesvol
Verification unavailable,Verificatie niet beschikbaar
Verification Under Review,Verificatie onder beoordeling
Verified,Geverifieerd
Verify Company,Bedrijf verifiëren
Verify your identity as a representative of {0} to activate this company on the Peppol network.,Verifieer je identiteit als vertegenwoordiger van {0} om dit bedrijf te activeren op het Peppol-netwerk.
Verifying...,Verifiëren...
View and manage integration state,Bekijk en beheer de integratiestatus
View and manage your customers (supporting data).,Bekijk en beheer je klanten (ondersteunende gegevens).
View and manage your suppliers (supporting data).,Bekijk en beheer je leveranciers (ondersteunende gegevens).
View and manage your transmitted Peppol documents.,Bekijk en beheer je verzonden Peppol-documenten.
View Available Plans,Beschikbare abonnementen bekijken
View Verification Status,Bekijk verificatiestatus
Volume-based,Op volume gebaseerd
We could not complete the verification flow for {0}.,We konden de verificatieflow voor {0} niet voltooien.
We could not prepare your mandate. Please try again.,We konden je mandaat niet voorbereiden. Probeer het opnieuw.
We offer a variety of plans\, pick one that suits your needs.,We bieden verschillende abonnementen. Kies het abonnement dat bij je behoeften past.
Webhooks and rules,Webhooks en regels
When checked\, you are able to send and receive documents over the Peppol Test Network\, allowing communication with external Peppol participants. Do not enable this setting if you are not sure what you are doing. This setting cannot be changed after playground creation.,Als dit is ingeschakeld\, kun je documenten via het Peppol-testnetwerk verzenden en ontvangen en met externe Peppol-deelnemers communiceren. Schakel dit niet in als je niet zeker weet wat je doet. Deze instelling kan na het maken van de testomgeving niet meer worden gewijzigd.
With integrations\, you can:,Met integraties kun je:
XML,XML
XML copied to clipboard,XML gekopieerd naar klembord
XML downloaded,XML gedownload
Yes\, Cancel Subscription,Ja\, abonnement annuleren
You sign this mandate with the identity check that follows.,Je tekent dit mandaat met de daaropvolgende identiteitscontrole.
You will be redirected to our verification partner to complete the identity check.,Je wordt doorgestuurd naar onze verificatiepartner om de identiteitscontrole te voltooien.
You will be redirected to our verification partner. Your verified identity is the proof of signature that is recorded on the mandate.,Je wordt doorgestuurd naar onze verificatiepartner. Je geverifieerde identiteit is het handtekeningsbewijs dat op het mandaat wordt vastgelegd.
You will lose access to your current plan features at the end of the current month.,Je verliest toegang tot de functies van je huidige plan aan het einde van de huidige maand.
You will read and sign the mandate for this company before your identity is checked.,Je leest en tekent het mandaat voor dit bedrijf voordat je identiteit wordt gecontroleerd.
Your billing information,Je facturatiegegevens
Your email,Je e-mailadres
Your identity could not be verified. Please contact,Je identiteit kon niet worden geverifieerd. Neem contact op met
Your identity verification for {0} is being processed. This page will update automatically.,Je identiteitsverificatie voor {0} wordt verwerkt. Deze pagina wordt automatisch bijgewerkt.
Your identity verification for {0} is being reviewed manually. This page will update automatically once the review is complete.,Je identiteitsverificatie voor {0} wordt handmatig beoordeeld. Deze pagina wordt automatisch bijgewerkt zodra de beoordeling is voltooid.
Your name,Je naam
Your payment method is set up and ready for billing.,Je betaalmethode is ingesteld en klaar voor facturatie.
Your signature,Je handtekening
Zero rated goods,Goederen met nultarief
(Required),(Verplicht)
/month excl. VAT,/maand excl. btw
API Preview,API-voorbeeld
Add Document Type,Documenttype toevoegen
Add Email,E-mailadres toevoegen
Add Identifier,Identificatie toevoegen
Add Integration,Integratie toevoegen
Add Invoice Reference,Factuurreferentie toevoegen
Add Line,Regel toevoegen
Add Payment Method,Betaalmethode toevoegen
Add Recipient,Ontvanger toevoegen
Add an email address to receive notifications,Voeg een e-mailadres toe om meldingen te ontvangen
Add an integration to get started,Voeg een integratie toe om aan de slag te gaan
Add your first document type to get started,Voeg je eerste documenttype toe om aan de slag te gaan
Add your first identifier to get started,Voeg je eerste identificatie toe om aan de slag te gaan
Additional Notes,Aanvullende opmerkingen
All companies,Alle bedrijven
Always (in addition to Peppol),Altijd (naast Peppol)
An identifier assigned by the buyer for internal routing purposes.,Een identificatie die de koper voor interne routering heeft toegewezen.
An unexpected error occurred,Er is een onverwachte fout opgetreden
Assign labels,Labels toewijzen
At least one direction (incoming or outgoing) must be selected,Selecteer minstens één richting (inkomend of uitgaand)
At least one direction must be selected,Selecteer minstens één richting
Available Plans,Beschikbare abonnementen
Back,Terug
Billing Email (Optional),E-mailadres voor facturatie (optioneel)
Billing Peppol Address (Optional),Peppol-adres voor facturatie (optioneel)
Blue,Blauw
Buyer Information (Auto-populated),Gegevens van de koper (automatisch ingevuld)
Buyer Information *,Gegevens van de koper *
Buyer Reference,Kopersreferentie
Buyer details,Gegevens van de koper
Cancel Edit,Bewerken annuleren
Choose file,Bestand kiezen
Choose the perfect plan for your needs,Kies het abonnement dat perfect bij je behoeften past
Clear,Wissen
Common schemes: 0208 (Belgium)\, 0106 (Netherlands)\, 0225 (France),Veelgebruikte schema's: 0208 (België)\, 0106 (Nederland)\, 0225 (Frankrijk)
Companies in {0} are functional\, but some country-specific features or requirements may not be covered yet.,Bedrijven in {0} werken\, maar sommige landspecifieke functies of vereisten worden mogelijk nog niet ondersteund.
Company (Optional),Bedrijf (optioneel)
Company Document Types,Documenttypen van het bedrijf
Company Identifiers,Bedrijfsidentificaties
Company information,Bedrijfsgegevens
Company is not verified,Bedrijf is niet geverifieerd
Company is verified,Bedrijf is geverifieerd
Configure email addresses to receive notifications when documents are sent or received.,Stel e-mailadressen in om meldingen te ontvangen wanneer documenten worden verzonden of ontvangen.
Connect external services to automate document processing and workflows.,Koppel externe diensten om documentverwerking en workflows te automatiseren.
Continue,Doorgaan
Country & VAT,Land en btw
Create,Aanmaken
Create Playground,Testomgeving aanmaken
Create a playground to test integrations without billing requirements\, or switch to an existing team.,Maak een testomgeving aan om integraties zonder facturatievereisten te testen\, of schakel over naar een bestaand team.
Create new playground,Nieuwe testomgeving aanmaken
Creating your company...,Je bedrijf wordt aangemaakt...
Creating...,Aanmaken...
Credit Note Lines *,Creditnotaregels *
Credit Note Number *,Creditnotanummer *
Credit item,Gecrediteerd artikel
Credited Invoices,Gecrediteerde facturen
Current,Huidig
Current Plan,Huidig abonnement
Custom Email Content (Optional),Aangepaste e-mailinhoud (optioneel)
Customer,Klant
Date range must not exceed 1 month (31 days),Het datumbereik mag niet langer zijn dan 1 maand (31 dagen)
Day,Dag
Default: Dear {buyer name}\, you can find your invoice attached.,Standaard: Beste {buyer name}\, je vindt je factuur in de bijlage.
Default: Invoice {number} or Credit Note {number},Standaard: Factuur {number} of creditnota {number}
Description,Beschrijving
Document Type ID,Documenttype-ID
Document Type ID (optional),Documenttype-ID (optioneel)
Document Type ID is required,Documenttype-ID is verplicht
Document direction,Documentrichting
Document sent successfully!,Document is verzonden!
Document type added successfully,Documenttype is toegevoegd
Document type deleted successfully,Documenttype is verwijderd
Document type updated successfully,Documenttype is bijgewerkt
Document types define what types of documents your company can receive over the Peppol network. This does not limit the types of documents you can send.,Documenttypen bepalen welke soorten documenten je bedrijf via het Peppol-netwerk kan ontvangen. Dit beperkt niet welke soorten documenten je kunt verzenden.
Documents per month,Documenten per maand
Done,Gereed
Drag & drop an XML file,Sleep een XML-bestand hierheen
Due Date,Vervaldatum
E.g. 0208:[Belgian Enterprise Number],Bijv. 0208:[Belgisch ondernemingsnummer]
Email (Optional),E-mailadres (optioneel)
Email Address,E-mailadres
Email Body (HTML),E-mailtekst (HTML)
Email Recipients,E-mailontvangers
Email Subject,E-mailonderwerp
Email address to receive invoices. If not set\, invoices will be sent to all team members.,E-mailadres waarop facturen worden ontvangen. Als dit niet is ingesteld\, worden facturen naar alle teamleden verzonden.
Email is required,E-mailadres is verplicht
Email-only delivery is only supported for (self-billing) invoices and credit notes,Levering uitsluitend via e-mail wordt alleen ondersteund voor self-billingfacturen en -creditnota's
End datetime (exclusive) *,Einddatum en -tijd (exclusief) *
End datetime is required,Einddatum en -tijd zijn verplicht
End datetime must be after start datetime,Einddatum en -tijd moeten na de begindatum en -tijd liggen
Endpoint,Endpoint
Enter the recipient's Peppol ID. Format: [scheme]:[identifier],Voer de Peppol-ID van de ontvanger in. Notatie: [schema]:[identificatie]
Enterprise Number (Optional),Ondernemingsnummer (optioneel)
Enterprise number scheme 0106 or 0190 required,Schema 0106 of 0190 voor het ondernemingsnummer is verplicht
Errors:,Fouten:
Example Company,Voorbeeldbedrijf
Export Documents,Documenten exporteren
Export all sent/received documents within a date range (max 1 month) as a ZIP archive.,Exporteer alle verzonden en ontvangen documenten binnen een datumbereik (maximaal 1 maand) als ZIP-archief.
Exporting...,Bezig met exporteren...
External ID (Optional),Externe ID (optioneel)
Failed to add document type: {0},Documenttype toevoegen mislukt: {0}
Failed to add identifier: {0},Identificatie toevoegen mislukt: {0}
Failed to add integration: {0},Integratie toevoegen mislukt: {0}
Failed to add notification email address: {0},E-mailadres voor meldingen toevoegen mislukt: {0}
Failed to create company,Bedrijf aanmaken mislukt
Failed to delete document type: {0},Documenttype verwijderen mislukt: {0}
Failed to delete identifier: {0},Identificatie verwijderen mislukt: {0}
Failed to delete notification email address: {0},E-mailadres voor meldingen verwijderen mislukt: {0}
Failed to export documents. Please try again.,Documenten exporteren mislukt. Probeer het opnieuw.
Failed to load company document types,Documenttypen van het bedrijf laden mislukt
Failed to load company identifiers: {0},Bedrijfsidentificaties laden mislukt: {0}
Failed to load integrations: {0},Integraties laden mislukt: {0}
Failed to load notification email addresses: {0},E-mailadressen voor meldingen laden mislukt: {0}
Failed to read file,Bestand lezen mislukt
Failed to send document,Document verzenden mislukt
Failed to update document type: {0},Documenttype bijwerken mislukt: {0}
Failed to update identifier: {0},Identificatie bijwerken mislukt: {0}
Failed to update notification email address: {0},E-mailadres voor meldingen bijwerken mislukt: {0}
Failed to update subscription,Abonnement bijwerken mislukt
False,Nee
Fill in the required fields to see a preview.,Vul de verplichte velden in om een voorbeeld te bekijken.
Flat UBLs (all XMLs in root),Platte UBL's (alle XML-bestanden in de hoofdmap)
For Belgian businesses\, the VAT number will be used to infer the enterprise number.,Voor Belgische bedrijven wordt het ondernemingsnummer afgeleid uit het btw-nummer.
For Dutch businesses\, the VAT number format is NL + 9 digits + B + 2 digits (e.g. NL123456789B01).,Voor Nederlandse bedrijven heeft het btw-nummer de notatie NL + 9 cijfers + B + 2 cijfers (bijv. NL123456789B01).
For Dutch sellers\, the scheme identifier is required to be able to send invoices and credit notes.,Voor Nederlandse verkopers is de schema-identificatie verplicht om facturen en creditnota's te kunnen verzenden.
Full Peppol participation: send documents and receive them from your network.,Volledige deelname aan Peppol: verzend documenten en ontvang ze vanuit je netwerk.
Generates a PDF of the document and embeds it as an attachment.,Genereert een pdf van het document en voegt deze als bijlage toe.
Green,Groen
Hour,Uur
IBAN *,IBAN *
Identifier,Identificatie
Identifier added successfully,Identificatie is toegevoegd
Identifier deleted successfully,Identificatie is verwijderd
Identifier is required,Identificatie is verplicht
Identifier updated successfully,Identificatie is bijgewerkt
Identifiers are used to identify your company in the Peppol network.,Identificaties worden gebruikt om je bedrijf op het Peppol-netwerk te identificeren.
If enabled\, the company will be registered as a recipient in our SMP (the Peppol address book). This will allow you to send and receive documents. If disabled\, you will only be able to send documents via Recommand.,Als dit is ingeschakeld\, wordt het bedrijf als ontvanger geregistreerd in onze SMP (het Peppol-adresboek). Zo kun je documenten verzenden en ontvangen. Als dit is uitgeschakeld\, kun je via Recommand alleen documenten verzenden.
If no Peppol recipient is provided\, email will be the primary delivery method regardless of this setting.,Als geen Peppol-ontvanger is opgegeven\, is e-mail ongeacht deze instelling de primaire bezorgmethode.
Include generated PDF,Gegenereerde pdf toevoegen
Include incoming documents,Inkomende documenten toevoegen
Include outgoing documents,Uitgaande documenten toevoegen
Incoming documents,Inkomende documenten
Incoming invoices,Inkomende facturen
Integration added successfully,Integratie is toegevoegd
Invoice ID *,Factuur-ID *
Invoice Lines *,Factuurregels *
Invoice Number *,Factuurnummer *
Invoice number or reference,Factuurnummer of referentie
Issue Date,Factuurdatum
Item Name *,Artikelnaam *
JSON document,JSON-document
JavaScript Fetch,JavaScript Fetch
Kilogram,Kilogram
Label Name,Labelnaam
Last month,Vorige maand
Leave blank to auto-detect from the document type,Laat leeg om automatisch af te leiden uit het documenttype
Leave blank to auto-detect from your XML (if possible),Laat leeg om indien mogelijk automatisch af te leiden uit je XML
Leave empty to send via email only.,Laat leeg om alleen via e-mail te verzenden.
Line Total:,Regeltotaal:
Liter,Liter
Live preview of the API request that will be sent,Livevoorbeeld van het API-verzoek dat wordt verzonden
Loaded: {0},Geladen: {0}
Loading companies...,Bedrijven laden...
Manage email notifications for documents,E-mailmeldingen voor documenten beheren
Manage integrations for this company,Integraties voor dit bedrijf beheren
Manage your company document types,Documenttypen van je bedrijf beheren
Manage your company identifiers,Bedrijfsidentificaties beheren
Megawatt hour (MWh),Megawattuur (MWh)
Meter,Meter
Month,Maand
Most popular,Populairst
Need more than {0} documents per month? Contact us for a custom plan.,Meer dan {0} documenten per maand nodig? Neem contact met ons op voor een abonnement op maat.
Nested structure (document packages),Geneste structuur (documentpakketten)
Net Total:,Nettototaal:
Net: €{0},Netto: €{0}
New companies cannot be created in {0}\, and existing companies cannot switch to it. We are working on supporting more countries in the future. Would you like to see support for {1}? Let us know via support@recommand.eu.,In {0} kunnen geen nieuwe bedrijven worden aangemaakt en bestaande bedrijven kunnen er niet naartoe overschakelen. We werken aan ondersteuning voor meer landen. Wil je ondersteuning voor {1}? Laat het ons weten via support@recommand.eu.
Next,Volgende
No attachments added yet.,Er zijn nog geen bijlagen toegevoegd.
No companies available,Geen bedrijven beschikbaar
No configurable capabilities available for this integration.,Er zijn geen instelbare mogelijkheden beschikbaar voor deze integratie.
No configurable fields available for this integration.,Er zijn geen instelbare velden beschikbaar voor deze integratie.
No customers found.,Geen klanten gevonden.
No detailed error information available.,Geen gedetailleerde foutinformatie beschikbaar.
No document type selected for editing,Geen documenttype geselecteerd om te bewerken
No document types found,Geen documenttypen gevonden
No identifier selected for editing,Geen identificatie geselecteerd om te bewerken
No identifiers found,Geen identificaties gevonden
No integrations configured,Geen integraties ingesteld
No notification email address selected for editing,Geen e-mailadres voor meldingen geselecteerd om te bewerken
No notification emails configured,Geen e-mailadressen voor meldingen ingesteld
No scheme found.,Geen schema gevonden.
Not sent over Peppol network,Niet via het Peppol-netwerk verzonden
Not specified,Niet opgegeven
Note,Opmerking
Notification email address added successfully,E-mailadres voor meldingen is toegevoegd
Notification email address deleted successfully,E-mailadres voor meldingen is verwijderd
Notification email address updated successfully,E-mailadres voor meldingen is bijgewerkt
Notifications,Meldingen
Notify for,Meldingen ontvangen voor
One,Stuk
Only if Peppol fails,Alleen als Peppol mislukt
Optional description,Optionele beschrijving
Optionally attach supporting documents such as PDFs or images. Files are embedded in the Peppol document.,Voeg desgewenst ondersteunende documenten toe\, zoals pdf's of afbeeldingen. Bestanden worden in het Peppol-document ingesloten.
Or choose a file to fill the XML textarea below,Of kies een bestand om het XML-tekstvak hieronder in te vullen
Orange,Oranje
Outgoing documents,Uitgaande documenten
Outgoing invoices,Uitgaande facturen
Output type *,Uitvoertype *
PDF filename,Bestandsnaam van de pdf
Payment Information,Betaalgegevens
Payment Reference,Betaalreferentie
Peppol address for invoice delivery. If not set\, we will try to derive it from your VAT number or deliver the invoice via email.,Peppol-adres voor de bezorging van facturen. Als dit niet is ingesteld\, proberen we het af te leiden uit je btw-nummer of bezorgen we de factuur via e-mail.
Peppol address: {0},Peppol-adres: {0}
Peppol addresses,Peppol-adressen
Peppol identifiers are the addresses your company uses on the Peppol network. By default\, identifiers were created from your enterprise or VAT number. You can add additional identifiers here if needed.,Peppol-identificaties zijn de adressen die je bedrijf op het Peppol-netwerk gebruikt. Standaard zijn identificaties aangemaakt op basis van je ondernemings- of btw-nummer. Je kunt hier indien nodig extra identificaties toevoegen.
Phone (Optional),Telefoonnummer (optioneel)
Please enter a recipient Peppol ID or configure email delivery,Voer een Peppol-ID van de ontvanger in of stel bezorging via e-mail in
Please select a company,Selecteer een bedrijf
Please select at least one notification type,Selecteer minstens één meldingstype
Please upload an XML file,Upload een XML-bestand
Postal Code,Postcode
Price *,Prijs *
Process ID (optional),Proces-ID (optioneel)
Process ID is required,Proces-ID is verplicht
Product or service,Product of dienst
Professional,Professional
Purple,Paars
Quantity *,Aantal *
Raw XML Document,Ruw XML-document
Reason for credit note,Reden voor de creditnota
Reason why the credit note is exempt from VAT,Reden waarom de creditnota is vrijgesteld van btw
Reason why the invoice is exempt from VAT,Reden waarom de factuur is vrijgesteld van btw
Receive documents only,Alleen documenten ontvangen
Recipient Peppol ID,Peppol-ID van de ontvanger
Register as recipient,Als ontvanger registreren
Register your company in the Peppol network so suppliers can send you documents.,Registreer je bedrijf op het Peppol-netwerk zodat leveranciers je documenten kunnen verzenden.
Request Body,Request Body
Resume Subscription,Abonnement hervatten
Saving will require re-verification,Na opslaan is herverificatie vereist
Scheme,Schema
Scheme is required,Schema is verplicht
Search scheme...,Schema zoeken...
Select Plan,Abonnement kiezen
Select a company,Selecteer een bedrijf
Select a country,Selecteer een land
Select a customer...,Selecteer een klant...
Select a preset...,Selecteer een voorinstelling...
Select an integration to connect to this company.,Selecteer een integratie om aan dit bedrijf te koppelen.
Select scheme...,Selecteer een schema...
Select {0} color,Kleur {0} selecteren
Seller Information (Auto-populated),Gegevens van de verkoper (automatisch ingevuld)
Seller Information *,Gegevens van de verkoper *
Seller details,Gegevens van de verkoper
Send Document,Document verzenden
Send and receive documents,Documenten verzenden en ontvangen
Send documents only,Alleen documenten verzenden
Send via Email,Via e-mail verzenden
Sending & receiving,Verzenden en ontvangen
Sending Company *,Verzendend bedrijf *
Sending...,Verzenden...
Sent via email to:,Via e-mail verzonden naar:
Setup Payment Method,Betaalmethode instellen
Skip Billing,Facturatie overslaan
Skip Setup with Playground,Configuratie overslaan met een testomgeving
Skip Subscription - Create Playground,Abonnement overslaan - testomgeving aanmaken
Skip billing setup by creating a playground to test your Peppol API integrations without billing requirements\, or switch to another team.,Sla de facturatieconfiguratie over door een testomgeving aan te maken waarin je je Peppol-API-integraties zonder facturatievereisten kunt testen\, of schakel over naar een ander team.
Skip for now,Voorlopig overslaan
Skip subscription setup by creating a playground to test your Peppol API integrations without billing requirements\, or switch to another team.,Sla de abonnementsconfiguratie over door een testomgeving aan te maken waarin je je Peppol-API-integraties zonder facturatievereisten kunt testen\, of schakel over naar een ander team.
Skip the current setup by switching to another team or creating a playground to test your Peppol API integrations without billing requirements.,Sla de huidige configuratie over door naar een ander team over te schakelen of een testomgeving aan te maken waarin je je Peppol-API-integraties zonder facturatievereisten kunt testen.
Some fields have been pre-filled from your billing profile.,Sommige velden zijn vooraf ingevuld vanuit je facturatieprofiel.
Start Verification,Verificatie starten
Start datetime (inclusive) *,Begindatum en -tijd (inclusief) *
Start datetime is required,Begindatum en -tijd zijn verplicht
Step {0} of {1},Stap {0} van {1}
Street Address,Straat en huisnummer
Street Address 2,Adresregel 2
Subscription updated successfully,Abonnement is bijgewerkt
Suite 100,Bus 100
Switch Team or Create Playground,Van team wisselen of een testomgeving aanmaken
Switch to existing team,Naar een bestaand team overschakelen
Switched team successfully,Naar het team overgeschakeld
Thank you for your business,Bedankt voor je vertrouwen
The VAT or enterprise number changed. Saving will revoke open verification sessions and any current verification status\, and the company will need to be verified again.,Het btw- of ondernemingsnummer is gewijzigd. Bij opslaan worden open verificatiesessies en de huidige verificatiestatus ingetrokken en moet het bedrijf opnieuw worden geverifieerd.
The token is used to authenticate the integration with the external service.,Het token wordt gebruikt om de integratie bij de externe dienst te verifiëren.
This is how your customer will see the generated billing document if you include it.,Zo ziet je klant het gegenereerde facturatiedocument als je dit toevoegt.
This month,Deze maand
To send or receive documents on behalf of {0}\, you must verify your identity to confirm you are authorized to act for this company.,Om namens {0} documenten te verzenden of ontvangen\, moet je je identiteit verifiëren en bevestigen dat je bevoegd bent om voor dit bedrijf op te treden.
Token,Token
Total Gross:,Brutototaal:
Total VAT:,Totaal btw:
True,Ja
Try again,Opnieuw proberen
Unit,Eenheid
Unsupported file type. Allowed types: CSV\, PDF\, PNG\, JPG\, XLSX\, ODS.,Niet-ondersteund bestandstype. Toegestane typen: CSV\, PDF\, PNG\, JPG\, XLSX\, ODS.
Update,Bijwerken
Updated: {0},Bijgewerkt: {0}
Upgrade or change your current plan,Upgrade of wijzig je huidige abonnement
Upload XML file,XML-bestand uploaden
Upload file,Bestand uploaden
Upload or paste your UBL-formatted XML document here. The document should be compliant with the Peppol BIS 3.0 standard.,Upload of plak hier je XML-document in UBL-formaat. Het document moet voldoen aan de Peppol BIS 3.0-standaard.
Use Recommand to send Peppol documents to your customers.,Gebruik Recommand om Peppol-documenten naar je klanten te verzenden.
VAT %,Btw %
VAT Category,Btw-categorie
VAT Exemption Reason *,Reden voor btw-vrijstelling *
VAT Number (Optional),Btw-nummer (optioneel)
VAT: {0},Btw: {0}
VAT: €{0} | Total: €{1},Btw: €{0} | Totaal: €{1}
Validating payment mandate...,Betalingsmandaat valideren...
Webhook URL,Webhook-URL
What do you want to use Recommand for with this company?,Waarvoor wil je Recommand bij dit bedrijf gebruiken?
When to send email,Wanneer e-mail verzenden
XML Document *,XML-document *
XML and any document attachments are always included. You can also attach a generated document preview (PDF) and a small JSON document with key document details.,De XML en eventuele documentbijlagen worden altijd toegevoegd. Je kunt ook een gegenereerd documentvoorbeeld (pdf) en een klein JSON-document met de belangrijkste documentgegevens toevoegen.
XML file is too large (max 5MB),XML-bestand is te groot (maximaal 5 MB)
Yellow,Geel
You can use HTML tags for formatting. The document will be attached as XML\, plus any embedded attachments (optionally including a generated PDF).,Je kunt HTML-tags gebruiken voor de opmaak. Het document wordt als XML bijgevoegd\, samen met eventuele ingesloten bijlagen (optioneel inclusief een gegenereerde pdf).
You must be in a team to complete this step,Je moet deel uitmaken van een team om deze stap te voltooien
cURL Command,cURL-opdracht
documents included,documenten inbegrepen
e.g.\, 0208 (Belgium),bijv. 0208 (België)
e.g.\, 1012081766,bijv. 1012081766
e.g.\, urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,bijv. urn:fdc:peppol.eu:2017:poacc:billing:01:1.0
e.g.\, urn:oasis:names:specification:ubl:schema:xsd:Invoice-2::Invoice##urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0::2.1,bijv. urn:oasis:names:specification:ubl:schema:xsd:Invoice-2::Invoice##urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0::2.1
{0} copied to clipboard,{0} naar het klembord gekopieerd
{0} is currently not supported,{0} wordt momenteel niet ondersteund
{0} is partially supported,{0} wordt gedeeltelijk ondersteund
€{0} per extra document,€{0} per extra document
✓ Sent over Peppol network,✓ Verzonden via het Peppol-netwerk
✓ Sent to {0},✓ Verzonden naar {0}
A company verification finished,Een bedrijfsverificatie is afgerond
A document was received for a company,Er is een document ontvangen voor een bedrijf
A document was sent by a company,Er is een document verzonden door een bedrijf
Auto-generated PDF,Automatisch gegenereerde pdf
Company verification,Bedrijfsverificatie
Document label assigned,Documentlabel toegewezen
Document label unassigned,Documentlabel verwijderd
Document received,Document ontvangen
Document sent,Document verzonden
Document type,Documenttype
Embedded attachments,Ingesloten bijlagen
Error message,Foutmelding
Label external ID,Externe label-ID
Receiver address,Ontvangeradres
Sender address,Afzenderadres
Verification status,Verificatiestatus
XML document,XML-document
Rejected,Afgewezen
Error,Fout
Failed to load billing profile,Facturatieprofiel laden mislukt
Billing profile updated successfully,Facturatieprofiel succesvol bijgewerkt
Failed to update billing profile,Facturatieprofiel bijwerken mislukt
Failed to update payment method,Betaalmethode bijwerken mislukt
A company verification update was recorded for {0}.,Er is een update van de bedrijfsverificatie geregistreerd voor {0}.
Action required: Verify {0} on the Peppol network,Actie vereist: verifieer {0} op het Peppol-netwerk
Amount,Bedrag
As an authorised representative of this company\, you need to verify your identity to activate {0} for electronic document exchange through Peppol.,Als bevoegd vertegenwoordiger van dit bedrijf moet je je identiteit verifiëren om {0} te activeren voor elektronische documentuitwisseling via Peppol.
Billing date,Facturatiedatum
Company verification declined,Bedrijfsverificatie afgewezen
Company verification request,Verzoek tot bedrijfsverificatie
Company verification status for {0}: {1},Verificatiestatus van {0}: {1}
Company verification update,Update bedrijfsverificatie
Company verification {0}: {1},Bedrijfsverificatie voor {1}: {0}
Company verified,Bedrijf geverifieerd
Complete verification,Verificatie voltooien
Dear {0}\,,Beste {0}\,
Document,Document
Document number,Documentnummer
Failed tasks,Mislukte taken
From,Van
Go to your companies,Ga naar je bedrijven
Great news! {0} has been manually verified and is now active on the Peppol network.,Goed nieuws! {0} is handmatig geverifieerd en nu actief op het Peppol-netwerk.
Hello\,,Hallo\,
If you did not expect this request or have questions\, contact,Als je dit verzoek niet verwachtte of vragen hebt\, neem dan contact op met
If you have any questions\, contact,Als je vragen hebt\, neem dan contact op met
Integration failure,Integratiefout
Integration failure: {0} for {1},Integratiefout: {0} voor {1}
Integration {0} failed for {1},Integratie {0} is mislukt voor {1}
Invoice reference,Factuurreferentie
Invoice {0},Factuur {0}
Label assigned to document,Label toegewezen aan document
Label assigned: {0} on {1},Label toegewezen: {0} aan {1}
Label removed from document,Label verwijderd van document
Label removed: {0} from {1},Label verwijderd: {0} van {1}
New {0} received,Nieuw document ontvangen: {0}
New {0} received: {1},Nieuw document ontvangen: {0} {1}
New {0} received for {1},Nieuw document ontvangen voor {1}: {0}
New {0} received from {1},Nieuw document ontvangen van {1}: {0}
Open company,Bedrijf openen
Open document,Document openen
Open report,Rapport openen
Open the document in Recommand to review the current labels and any follow-up actions.,Open het document in Recommand om de huidige labels en eventuele vervolgacties te bekijken.
Open the document in Recommand to review the label assignment and continue processing it.,Open het document in Recommand om de labeltoewijzing te bekijken en de verwerking voort te zetten.
Open your billing settings,Open je facturatie-instellingen
Payment failed,Betaling mislukt
Payment failed for invoice {0},Betaling mislukt voor factuur {0}
Please review the integration configuration and ensure all required settings are correct.,Controleer de configuratie van de integratie en zorg dat alle vereiste instellingen kloppen.
Please update your payment method in your account settings\, or contact us at,Werk je betaalmethode bij in je accountinstellingen of neem contact met ons op via
Recommand invoice {0},Recommand factuur {0}
Reference,Referentie
Subtotal (excl. VAT),Subtotaal (excl. btw)
Thank you for using Recommand. Please find the summary of your invoice below.,Bedankt voor het gebruik van Recommand. Hieronder vind je het overzicht van je factuur.
Thank you for your understanding.,Bedankt voor je begrip.
The document and any attachments are included with this email. Please review and take any necessary action.,Het document en eventuele bijlagen zijn bij deze e-mail gevoegd. Bekijk ze en onderneem de nodige actie.
The integration {0} for company {1} failed during {2}.,De integratie {0} voor bedrijf {1} is mislukt tijdens {2}.
The label {0} was assigned to a {1} for {2}.,Het label {0} is toegewezen aan een document ({1}) van {2}.
The label {0} was removed from a {1} for {2}.,Het label {0} is verwijderd van een document ({1}) van {2}.
The manual verification for {0} was declined.,De handmatige verificatie voor {0} is afgewezen.
The {0} has been accepted for processing by our approved reporting partner. The reported data is included with this email for your records.,Het document ({0}) is geaccepteerd voor verwerking door onze erkende rapportagepartner. De gerapporteerde gegevens zijn bij deze e-mail gevoegd voor je administratie.
The {0} has been delivered to the recipient through the Peppol network. The document and any attachments are included with this email for your records.,Het document ({0}) is via het Peppol-netwerk aan de ontvanger bezorgd. Het document en eventuele bijlagen zijn bij deze e-mail gevoegd voor je administratie.
