(Required),(Erforderlich)
Inspect metadata or the original XML payload.,Metadaten oder die ursprüngliche XML-Nutzlast prüfen.
Inspect metadata or the parsed JSON structure.,Metadaten oder die geparste JSON-Struktur prüfen.
Inspect metadata\, parsed JSON structure\, or the original XML payload.,Metadaten\, die geparste JSON-Struktur oder die ursprüngliche XML-Nutzlast prüfen.
Integration added successfully,Integration erfolgreich hinzugefügt
Integration configuration is required. Please configure the integration first.,Eine Integrationskonfiguration ist erforderlich. Konfigurieren Sie zuerst die Integration.
Integration deleted successfully,Integration erfolgreich gelöscht
Integration does not belong to this company,Die Integration gehört nicht zu diesem Unternehmen
Integration not found,Integration nicht gefunden
Integration Setup,Integration einrichten
Integration State,Integrationsstatus
Integration state reset successfully,Integrationsstatus erfolgreich zurückgesetzt
Integration Teardown,Integration abbauen
Integration updated successfully,Integration erfolgreich aktualisiert
Integrations,Integrationen
Invoice,Rechnung
Invoice #,Rechnungsnr.
Invoice ID *,Rechnungs-ID *
Invoice Lines *,Rechnungspositionen *
Invoice Number *,Rechnungsnummer *
Invoice number or reference,Rechnungsnummer oder Referenz
Invoice Response,Rechnungsantwort
Issue Date,Ausstellungsdatum
Item Name *,Artikelbezeichnung *
JavaScript Fetch,JavaScript Fetch
JSON,JSON
JSON copied to clipboard,JSON in die Zwischenablage kopiert
JSON document,JSON-Dokument
Keep Subscription,Abonnement beibehalten
Key,Schlüssel
Kilogram,Kilogramm
Label,Label
Label added to {0} documents,Label zu {0} Dokumenten hinzugefügt
Label created successfully,Label erfolgreich erstellt
Label deleted successfully,Label erfolgreich gelöscht
Label ID copied to clipboard,Label-ID in die Zwischenablage kopiert
Label Name,Labelname
Label not found,Label nicht gefunden
Label updated successfully,Label erfolgreich aktualisiert
Labels,Labels
Last month,Letzter Monat
Last name,Nachname
Leave blank to auto-detect from the document type,Leer lassen\, um die Angabe automatisch anhand des Dokumenttyps zu ermitteln
Leave blank to auto-detect from your XML (if possible),Leer lassen\, um die Angabe nach Möglichkeit automatisch aus Ihrer XML-Datei zu ermitteln
Leave empty to send via email only.,Leer lassen\, um ausschließlich per E-Mail zu senden.
Limited document details,Eingeschränkte Dokumentdetails
Line Total:,Positionssumme:
Liter,Liter
Live preview of the API request that will be sent,Live-Vorschau der zu sendenden API-Anfrage
Loaded: {0},Geladen: {0}
Loading companies...,Unternehmen werden geladen...
Loading company details...,Unternehmensdetails werden geladen...
Loading document details...,Dokumentdetails werden geladen...
Loading integration details...,Integrationsdetails werden geladen...
Loading preview...,Vorschau wird geladen...
Loading verification status...,Verifizierungsstatus wird geladen...
Loading verification...,Verifizierung wird geladen...
Loading...,Wird geladen...
Main Street 123,Hauptstraße 123
Make changes to the company information below,Ändern Sie unten die Unternehmensdaten
Make configuration changes to the integration,Ändern Sie die Konfiguration der Integration
Manage email notifications for documents,E-Mail-Benachrichtigungen für Dokumente verwalten
Manage integrations for this company,Integrationen für dieses Unternehmen verwalten
Manage labels for organizing and categorizing your data.,Labels zum Ordnen und Kategorisieren Ihrer Daten verwalten.
Manage your companies\, send and receive Peppol documents\, and monitor your subscription all in one place.,Verwalten Sie Ihre Unternehmen\, senden und empfangen Sie Peppol-Dokumente und überwachen Sie Ihr Abonnement an einem Ort.
Manage your company document types,Dokumenttypen Ihres Unternehmens verwalten
Manage your company identifiers,Kennungen Ihres Unternehmens verwalten
Manage your subscription plan and billing information,Abonnementtarif und Abrechnungsinformationen verwalten
Mandate for electronic invoicing,Mandat für die elektronische Rechnungsstellung
Mandate Status: Not yet validated,Mandatsstatus: Noch nicht validiert
Mandate Status: Validated,Mandatsstatus: Validiert
Manual review in progress,Manuelle Prüfung läuft
Mark as read,Als gelesen markieren
Mark as unread,Als ungelesen markieren
Megawatt hour (MWh),Megawattstunde (MWh)
Message,Nachricht
Message Level Response,Antwort auf Nachrichtenebene
Metadata,Metadaten
Meter,Meter
Month,Monat
Monthly Price,Monatlicher Preis
Most popular,Am beliebtesten
N/A,k. A.
Name,Name
Name *,Name *
Name is required,Name ist erforderlich
Need more than {0} documents per month? Contact us for a custom plan.,Benötigen Sie mehr als {0} Dokumente pro Monat? Kontaktieren Sie uns für einen individuellen Tarif.
Nested structure (document packages),Verschachtelte Struktur (Dokumentpakete)
Nested ZIP,Verschachteltes ZIP
Net Total:,Nettosumme:
Net: €{0},Netto: {0} €
New companies cannot be created in {0}\, and existing companies cannot switch to it. We are working on supporting more countries in the future. Would you like to see support for {1}? Let us know via support@recommand.eu.,In {0} können keine neuen Unternehmen erstellt werden und bestehende Unternehmen können nicht dorthin wechseln. Wir arbeiten daran\, künftig weitere Länder zu unterstützen. Möchten Sie\, dass {1} unterstützt wird? Schreiben Sie uns an support@recommand.eu.
Next,Weiter
No Active Subscription,Kein aktives Abonnement
No active team selected,Kein aktives Team ausgewählt
No attachments added yet.,Noch keine Anhänge hinzugefügt.
No attachments found on this document.,In diesem Dokument wurden keine Anhänge gefunden.
No available labels,Keine verfügbaren Labels
No billing events found,Keine Abrechnungsereignisse gefunden
No billing profile set up yet.,Noch kein Abrechnungsprofil eingerichtet.
No companies available,Keine Unternehmen verfügbar
No configurable capabilities available for this integration.,Für diese Integration sind keine konfigurierbaren Funktionen verfügbar.
No configurable fields available for this integration.,Für diese Integration sind keine konfigurierbaren Felder verfügbar.
No customers found.,Keine Kunden gefunden.
No detailed error information available.,Keine detaillierten Fehlerinformationen verfügbar.
No document type selected for editing,Kein Dokumenttyp zur Bearbeitung ausgewählt
No document types found,Keine Dokumenttypen gefunden
No embedded content or external reference available for this attachment.,Für diesen Anhang sind weder eingebettete Inhalte noch eine externe Referenz verfügbar.
No identifier selected for editing,Keine Kennung zur Bearbeitung ausgewählt
No identifiers found,Keine Kennungen gefunden
No integrations configured,Keine Integrationen konfiguriert
No labels available,Keine Labels verfügbar
No notification email address selected for editing,Keine Benachrichtigungs-E-Mail-Adresse zur Bearbeitung ausgewählt
No notification emails configured,Keine Benachrichtigungs-E-Mail-Adressen konfiguriert
No Peppol addresses added. Click "Add Address" to add one.,Keine Peppol-Adressen hinzugefügt. Klicken Sie auf „Adresse hinzufügen“\, um eine hinzuzufügen.
No Peppol IDs added yet.,Noch keine Peppol-IDs hinzugefügt.
No preview available for this document.,Für dieses Dokument ist keine Vorschau verfügbar.
No registered representatives could be found for this company in the CBE registry. You can still proceed with identity verification but your request will be manually reviewed.,Für dieses Unternehmen wurden im ZDU-Register keine eingetragenen Vertreter gefunden. Sie können mit der Identitätsprüfung fortfahren\, Ihre Anfrage wird jedoch manuell geprüft.
No scheme found.,Kein Schema gefunden.
No state data available,Keine Statusdaten verfügbar
No task logs available,Keine Aufgabenprotokolle verfügbar
None,Keine
Not found,Nicht gefunden
Not Found,Nicht gefunden
Not sent over Peppol network,Nicht über das Peppol-Netzwerk gesendet
Not set,Nicht festgelegt
Not specified,Nicht angegeben
Not the right person to complete this?,Nicht die richtige Person\, um dies abzuschließen?
Note,Hinweis
Notification email address added successfully,Benachrichtigungs-E-Mail-Adresse erfolgreich hinzugefügt
Notification email address deleted successfully,Benachrichtigungs-E-Mail-Adresse erfolgreich gelöscht
Notification email address updated successfully,Benachrichtigungs-E-Mail-Adresse erfolgreich aktualisiert
Notifications,Benachrichtigungen
Notify for,Benachrichtigen bei
of Recommand on behalf of {0}.,von Recommand im Namen von {0}.
One,Stück
Only if Peppol fails,Nur wenn Peppol fehlschlägt
Open,Offen
Open external reference,Externe Referenz öffnen
Open link,Link öffnen
Optional description,Optionale Beschreibung
Optional external identifier,Optionale externe Kennung
Optional VAT number,Optionale USt-IdNr.
Optionally attach supporting documents such as PDFs or images. Files are embedded in the Peppol document.,Fügen Sie optional unterstützende Dokumente wie PDF-Dateien oder Bilder hinzu. Die Dateien werden in das Peppol-Dokument eingebettet.
Or choose a file to fill the XML textarea below,Oder wählen Sie eine Datei aus\, um das XML-Textfeld unten auszufüllen
Orange,Orange
outgoing,ausgehend
Outgoing,Ausgehend
Outgoing document,Ausgehendes Dokument
Outgoing documents,Ausgehende Dokumente
Outgoing invoices,Ausgehende Rechnungen
Output type *,Ausgabetyp *
Overage Rate,Mehrpreis
Overview of all invoices and billing events,Übersicht über alle Rechnungen und Abrechnungsereignisse
Paid,Bezahlt
Payment Information,Zahlungsinformationen
Payment Mandate,Zahlungsmandat
Payment Reference,Zahlungsreferenz
Payment Status,Zahlungsstatus
Payment Status: {0},Zahlungsstatus: {0}
PDF attachment,PDF-Anhang
PDF filename,PDF-Dateiname
PDF\, drawn up for {0},PDF\, erstellt für {0}
Pending,Ausstehend
Peppol address for invoice delivery. If not set\, we will try to derive it from your VAT number or deliver the invoice via email.,Peppol-Adresse für die Rechnungszustellung. Wenn keine festgelegt ist\, versuchen wir\, sie aus Ihrer Umsatzsteuer-Identifikationsnummer abzuleiten oder die Rechnung per E-Mail zuzustellen.
Peppol address: {0},Peppol-Adresse: {0}
Peppol addresses,Peppol-Adressen
Peppol Addresses,Peppol-Adressen
Peppol Conversation ID,Peppol-Konversations-ID
Peppol identifiers are the addresses your company uses on the Peppol network. By default\, identifiers were created from your enterprise or VAT number. You can add additional identifiers here if needed.,Peppol-Kennungen sind die Adressen\, die Ihr Unternehmen im Peppol-Netzwerk verwendet. Standardmäßig wurden Kennungen aus Ihrer Unternehmens- oder Umsatzsteuer-Identifikationsnummer erstellt. Bei Bedarf können Sie hier weitere Kennungen hinzufügen.
Peppol IDs,Peppol-IDs
Peppol Message ID,Peppol-Nachrichten-ID
per document,pro Dokument
per month,pro Monat
Period,Zeitraum
Phone,Telefon
Phone (Optional),Telefon (optional)
Pick a plan,Tarif auswählen
Playground created successfully,Testumgebung erfolgreich erstellt
Playground Environment,Testumgebung
Playground name,Name der Testumgebung
Please enter a name for the playground,Geben Sie einen Namen für die Testumgebung ein
Please enter a recipient Peppol ID or configure email delivery,Bitte geben Sie eine Peppol-ID des Empfängers ein oder konfigurieren Sie die Zustellung per E-Mail
Please select a company,Bitte wählen Sie ein Unternehmen aus
Please select at least one notification type,Bitte wählen Sie mindestens einen Benachrichtigungstyp aus
Please upload an XML file,Bitte laden Sie eine XML-Datei hoch
Please wait while we validate your payment mandate.,Bitte warten Sie\, während wir Ihr Zahlungsmandat validieren.
Postal Code,Postleitzahl
Postal Code *,Postleitzahl *
Preparing signature...,Signatur wird vorbereitet...
Preview and metadata for this transmitted Peppol document.,Vorschau und Metadaten für dieses übertragene Peppol-Dokument.
Price *,Preis *
Price per Document,Preis pro Dokument
Pricing Model,Preismodell
Process ID,Prozess-ID
Process ID (optional),Prozess-ID (optional)
Process ID is required,Prozess-ID ist erforderlich
Product or service,Produkt oder Dienstleistung
Production Environment,Produktionsumgebung
Professional,Professional
Professional 1000,Professional 1000
Professional 2500,Professional 2500
Professional 5000,Professional 5000
Purple,Violett
Quantity *,Menge *
Raw XML,Roh-XML
Raw XML Document,XML-Rohdokument
Read,Gelesen
Read {0},Gelesen am {0}
Read At,Gelesen am
Read Status,Lesestatus
Read the mandate you are about to sign on behalf of {0}. It authorises us to send\, receive and register electronic invoices for the company.,Lesen Sie das Mandat\, das Sie im Namen von {0} unterzeichnen werden. Es ermächtigt uns\, elektronische Rechnungen für das Unternehmen zu senden\, zu empfangen und zu registrieren.
Reason for credit note,Grund für die Gutschrift
Reason why the credit note is exempt from VAT,Grund für die Umsatzsteuerbefreiung der Gutschrift
Reason why the invoice is exempt from VAT,Grund für die Umsatzsteuerbefreiung der Rechnung
Receive documents only,Nur Dokumente empfangen
Receive real-time notifications for incoming documents,Echtzeitbenachrichtigungen über eingehende Dokumente erhalten
Received Peppol Signal Message,Empfangene Peppol-Signalnachricht
Receiver,Empfänger
Receiver ID,Empfänger-ID
Recent integration task execution logs,Protokolle der letzten Integrationsaufgaben
Recipient Peppol ID,Peppol-ID des Empfängers
Recommand Logo,Recommand-Logo
Refund or adjustment document,Erstattungs- oder Anpassungsdokument
Register as recipient,Als Empfänger registrieren
Register your company in the Peppol network so suppliers can send you documents.,Registrieren Sie Ihr Unternehmen im Peppol-Netzwerk\, damit Lieferanten Ihnen Dokumente senden können.
Reject,Ablehnen
Rejecting...,Wird abgelehnt...
Related documents,Zugehörige Dokumente
Remove,Entfernen
Preview of the billing document and any attachments.,Vorschau des Abrechnungsdokuments und vorhandener Anhänge.
Representative Details,Vertreterangaben
Request Body,Anfragetext
Request failed,Anfrage fehlgeschlagen
Reset Integration State,Integrationsstatus zurücksetzen
Reset State,Status zurücksetzen
Restart identity verification,Identitätsprüfung neu starten
Restart Identity Verification,Identitätsprüfung neu starten
Restarting...,Wird neu gestartet...
Resume Subscription,Abonnement fortsetzen
Return to Subscription,Zurück zum Abonnement
Save Changes,Änderungen speichern
Saving will require re-verification,Nach dem Speichern ist eine erneute Verifizierung erforderlich
Scheduled,Geplant
Scheduled subscription change,Geplante Abonnementänderung
Scheme,Schema
Scheme is required,Schema ist erforderlich
Search customers...,Kunden suchen...
Search documents...,Dokumente suchen...
Search scheme...,Schema suchen...
Search suppliers...,Lieferanten suchen...
Select {0} color,Farbe {0} auswählen
Select a company,Unternehmen auswählen
Select a country,Land auswählen
Select a customer...,Kunden auswählen...
Select a preset...,Voreinstellung auswählen...
Select all rows,Alle Zeilen auswählen
Select an integration to connect to this company.,Wählen Sie eine Integration aus\, die mit diesem Unternehmen verbunden werden soll.
Select country,Land auswählen
Select document type,Dokumenttyp auswählen
Select Plan,Tarif auswählen
Select row,Zeile auswählen
Select scheme...,Schema auswählen...
Select your name from the list of registered representatives.,Wählen Sie Ihren Namen aus der Liste der eingetragenen Vertreter aus.
Self billing credit note,Self-Billing-Gutschrift
Self Billing Credit Note,Self-Billing-Gutschrift
Self billing invoice,Self-Billing-Rechnung
Self Billing Invoice,Self-Billing-Rechnung
Seller details,Verkäuferdetails
Seller Information (Auto-populated),Verkäuferinformationen (automatisch ausgefüllt)
Seller Information *,Verkäuferinformationen *
Send and receive documents,Dokumente senden und empfangen
Send document,Dokument senden
Send Document,Dokument senden
Send documents only,Nur Dokumente senden
Send invoices and credit notes through the Peppol network.,Rechnungen und Gutschriften über das Peppol-Netzwerk senden.
Send via Email,Per E-Mail senden
Sender,Absender
Sender ID,Absender-ID
Sending & receiving,Senden und Empfangen
Sending Company *,Sendendes Unternehmen *
Sending...,Wird gesendet...
Sent and received,Gesendet und empfangen
Sent and received documents,Gesendete und empfangene Dokumente
Sent via email to:,Per E-Mail gesendet an:
Services outside scope of tax,Dienstleistungen außerhalb des Steueranwendungsbereichs
Set Up Billing Profile,Abrechnungsprofil einrichten
Set Up Payment Method,Zahlungsmethode einrichten
Set up your billing profile to manage subscriptions.,Richten Sie Ihr Abrechnungsprofil ein\, um Abonnements zu verwalten.
Set up your first company,Erstes Unternehmen einrichten
Setup Payment Method,Zahlungsmethode einrichten
SI-UBL 2.0 Credit Note,SI-UBL-2.0-Gutschrift
SI-UBL 2.0 Invoice,SI-UBL-2.0-Rechnung
Sign the mandate,Mandat unterzeichnen
Sign the mandate that lets us act for {0} on the Peppol network\, then confirm your identity.,Unterzeichnen Sie das Mandat\, das uns berechtigt\, für {0} im Peppol-Netzwerk zu handeln\, und bestätigen Sie anschließend Ihre Identität.
Sign with identity verification,Mit Identitätsprüfung unterzeichnen
Signed by {0}\, for {1},Unterzeichnet von {0} für {1}
Simulate Verification Result,Verifizierungsergebnis simulieren
Skip Billing,Abrechnung überspringen
Skip billing setup by creating a playground to test your Peppol API integrations without billing requirements\, or switch to another team.,Überspringen Sie die Abrechnungseinrichtung\, indem Sie eine Testumgebung zum Testen Ihrer Peppol-API-Integrationen ohne Abrechnungsanforderungen erstellen\, oder wechseln Sie zu einem anderen Team.
Skip for now,Vorerst überspringen
Skip Setup with Playground,Einrichtung mit Testumgebung überspringen
Skip Subscription - Create Playground,Abonnement überspringen – Testumgebung erstellen
Skip subscription setup by creating a playground to test your Peppol API integrations without billing requirements\, or switch to another team.,Überspringen Sie die Abonnementeinrichtung\, indem Sie eine Testumgebung zum Testen Ihrer Peppol-API-Integrationen ohne Abrechnungsanforderungen erstellen\, oder wechseln Sie zu einem anderen Team.
Skip the current setup by switching to another team or creating a playground to test your Peppol API integrations without billing requirements.,Überspringen Sie die aktuelle Einrichtung\, indem Sie zu einem anderen Team wechseln oder eine Testumgebung zum Testen Ihrer Peppol-API-Integrationen ohne Abrechnungsanforderungen erstellen.
Some fields have been pre-filled from your billing profile.,Einige Felder wurden anhand Ihres Abrechnungsprofils vorausgefüllt.
Standard billing document,Standardabrechnungsdokument
Standard rate,Normalsatz
Start Date,Startdatum
Start datetime (inclusive) *,Startzeitpunkt (inklusiv) *
Start datetime is required,Startzeitpunkt ist erforderlich
Start Verification,Verifizierung starten
Starter,Starter
Status,Status
Status unavailable,Status nicht verfügbar
Step {0} of {1},Schritt {0} von {1}
Streamline your document processing workflow,Arbeitsablauf für die Dokumentverarbeitung optimieren
Street Address,Straße und Hausnummer
Street Address 2,Adresszusatz
Subscription,Abonnement
Subscription cancelled successfully,Abonnement erfolgreich gekündigt
Subscription updated successfully,Abonnement erfolgreich aktualisiert
Success,Erfolgreich
Suite 100,Suite 100
Supplier created successfully,Lieferant erfolgreich erstellt
Supplier deleted successfully,Lieferant erfolgreich gelöscht
Supplier updated successfully,Lieferant erfolgreich aktualisiert
Suppliers,Lieferanten
Supporting data,Stammdaten
Switch Team or Create Playground,Team wechseln oder Testumgebung erstellen
Switch to a production team to manage your subscription.,Wechseln Sie zu einem Produktionsteam\, um Ihr Abonnement zu verwalten.
Switch to existing team,Zu bestehendem Team wechseln
Switched team successfully,Team erfolgreich gewechselt
Task,Aufgabe
Task Logs,Aufgabenprotokolle
Task Retry,Aufgabe wiederholen
Tax for production\, services and importation in Ceuta and Melilla,Steuer auf Produktion\, Dienstleistungen und Einfuhren in Ceuta und Melilla
Team Settings,Teameinstellungen
Technical details & raw data,Technische Details und Rohdaten
terms and conditions,Allgemeinen Geschäftsbedingungen
Thank you for your business,Vielen Dank für Ihren Auftrag
The identity verification for {0} was not successful.,Die Identitätsprüfung für {0} war nicht erfolgreich.
The integration will be notified every day to synchronize documents or perform other tasks.,Die Integration wird täglich benachrichtigt\, um Dokumente zu synchronisieren oder andere Aufgaben auszuführen.
The integration will be notified every few hours to synchronize documents or perform other tasks.,Die Integration wird alle paar Stunden benachrichtigt\, um Dokumente zu synchronisieren oder andere Aufgaben auszuführen.
The integration will be notified every few minutes to synchronize documents or perform other tasks.,Die Integration wird alle paar Minuten benachrichtigt\, um Dokumente zu synchronisieren oder andere Aufgaben auszuführen.
The request was forwarded successfully. You can close this page.,Die Anfrage wurde erfolgreich weitergeleitet. Sie können diese Seite schließen.
The token is used to authenticate the integration with the external service.,Das Token wird verwendet\, um die Integration beim externen Dienst zu authentifizieren.
The VAT or enterprise number changed. Saving will revoke open verification sessions and any current verification status\, and the company will need to be verified again.,Die Umsatzsteuer-Identifikations- oder Unternehmensnummer wurde geändert. Beim Speichern werden offene Verifizierungssitzungen und der aktuelle Verifizierungsstatus widerrufen; das Unternehmen muss anschließend erneut verifiziert werden.
This attachment type cannot be previewed inline\, but you can download it.,Dieser Anhangstyp kann nicht direkt angezeigt werden\, Sie können ihn jedoch herunterladen.
This company needs to be verified before it can be used.,Dieses Unternehmen muss verifiziert werden\, bevor es verwendet werden kann.
This company needs to be verified. Without verification\, it will soon be deactivated.,Dieses Unternehmen muss verifiziert werden. Ohne Verifizierung wird es bald deaktiviert.
This document could not be fully parsed. Only technical metadata and raw XML are available.,Dieses Dokument konnte nicht vollständig geparst werden. Es sind nur technische Metadaten und das Roh-XML verfügbar.
This document could not be fully parsed. Only technical metadata is available.,Dieses Dokument konnte nicht vollständig geparst werden. Es sind nur technische Metadaten verfügbar.
This document has validation errors that need attention.,Dieses Dokument weist Validierungsfehler auf\, die behoben werden müssen.
This is a Peppol Test Network playground environment,Dies ist eine mit dem Peppol-Testnetzwerk verbundene Testumgebung
This is a playground environment,Dies ist eine Testumgebung
This is a playground environment. Playground usage is entirely free of charge.,Dies ist eine Testumgebung. Ihre Nutzung ist vollständig kostenlos.
This is a playground team\, so identity verification is simulated. Choose whether the verification for {0} should be accepted or rejected.,Dies ist ein Testteam\, daher wird die Identitätsprüfung simuliert. Wählen Sie aus\, ob die Verifizierung für {0} angenommen oder abgelehnt werden soll.
This is a playground team. You can use it to test the Recommand API without affecting production data or communicating over the Peppol network.,Dies ist ein Testteam. Sie können damit die Recommand API testen\, ohne Produktionsdaten zu beeinflussen oder über das Peppol-Netzwerk zu kommunizieren.
This is a production team. You can use it to send and receive Peppol documents.,Dies ist ein Produktionsteam. Sie können damit Peppol-Dokumente senden und empfangen.
This is how your customer will see the generated billing document if you include it.,So wird Ihr Kunde das erstellte Abrechnungsdokument sehen\, wenn Sie es einschließen.
This may take some time. You can safely close this page and check back later.,Dies kann einige Zeit dauern. Sie können diese Seite schließen und später erneut aufrufen.
This month,Dieser Monat
This playground is connected to the Peppol test network.,Diese Testumgebung ist mit dem Peppol-Testnetzwerk verbunden.
This playground is not connected to the Peppol test network.,Diese Testumgebung ist nicht mit dem Peppol-Testnetzwerk verbunden.
This verification for {0} has already reached a final state.,Diese Verifizierung für {0} hat bereits einen endgültigen Status erreicht.
To send or receive documents on behalf of {0}\, you must verify your identity to confirm you are authorized to act for this company.,Um im Namen von {0} Dokumente zu senden oder zu empfangen\, müssen Sie Ihre Identität verifizieren und bestätigen\, dass Sie berechtigt sind\, für dieses Unternehmen zu handeln.
Token,Token
Total,Gesamt
Total Excl. VAT,Gesamt ohne USt.
Total Gross:,Bruttosumme:
Total Incl. VAT,Gesamt inkl. USt.
Total VAT:,USt. gesamt:
Transferred (VAT)\, In Italy,Übertragene Umsatzsteuer in Italien
True,Wahr
Try again,Erneut versuchen
Try out Peppol\, no credit card needed,Peppol kostenlos und ohne Kreditkarte ausprobieren
Type,Typ
Unit,Einheit
Unknown,Unbekannt
Unlimited usage - pay per document transmitted (€{0} each),Unbegrenzte Nutzung – Bezahlung pro übertragenem Dokument ({0} € je Dokument)
Unnamed attachment,Unbenannter Anhang
Unread,Ungelesen
Unsupported file type. Allowed types: CSV\, PDF\, PNG\, JPG\, XLSX\, ODS.,Nicht unterstützter Dateityp. Zulässige Typen: CSV\, PDF\, PNG\, JPG\, XLSX\, ODS.
Update,Aktualisieren
Update Payment Method,Zahlungsmethode aktualisieren
Update the customer details below.,Aktualisieren Sie unten die Kundendaten.
Update the supplier details below.,Aktualisieren Sie unten die Lieferantendaten.
Update your billing information,Abrechnungsinformationen für Rechnungen aktualisieren
Updated: {0},Aktualisiert: {0}
Upgrade or change your current plan,Aktuellen Tarif upgraden oder wechseln
Upload file,Datei hochladen
Upload or paste a raw UBL XML document that complies with Peppol standards.,Laden Sie ein Peppol-konformes UBL-XML-Dokument hoch oder fügen Sie es ein.
Upload or paste your UBL-formatted XML document here. The document should be compliant with the Peppol BIS 3.0 standard.,Laden Sie Ihr UBL-formatiertes XML-Dokument hier hoch oder fügen Sie es ein. Das Dokument sollte dem Peppol-BIS-3.0-Standard entsprechen.
Upload XML file,XML-Datei hochladen
Use Peppol Test Network,Peppol-Testnetzwerk verwenden
Use Recommand to send Peppol documents to your customers.,Verwenden Sie Recommand\, um Peppol-Dokumente an Ihre Kunden zu senden.
Validating payment mandate...,Zahlungsmandat wird validiert...
Validating Your Payment,Ihre Zahlung wird validiert
Validation,Validierung
Value,Wert
VAT,USt.
VAT %,USt. %
VAT Category,USt.-Kategorie
VAT exempt for EEA intra-community supply,Umsatzsteuerbefreit bei innergemeinschaftlicher Lieferung im EWR
VAT Exemption Reason *,Grund für die Umsatzsteuerbefreiung *
VAT Number,USt-IdNr.
VAT Number (Optional),USt-IdNr. (optional)
Vat Reverse Charge,Umkehrung der Steuerschuldnerschaft
VAT: {0},USt.: {0}
VAT: €{0} | Total: €{1},USt.: {0} € | Gesamt: {1} €
Verification,Verifizierung
Verification Already Finalized,Verifizierung bereits abgeschlossen
Verification Already in Progress,Verifizierung läuft bereits
Verification Could Not Be Completed,Verifizierung konnte nicht abgeschlossen werden
Verification data could not be loaded.,Verifizierungsdaten konnten nicht geladen werden.
Verification in Progress,Verifizierung läuft
Verification link sent,Verifizierungslink gesendet
Verification Rejected,Verifizierung abgelehnt
Verification status could not be loaded.,Verifizierungsstatus konnte nicht geladen werden.
Verification Successful,Verifizierung erfolgreich
Verification unavailable,Verifizierung nicht verfügbar
Verification Under Review,Verifizierung wird geprüft
Verified,Verifiziert
Verify Company,Unternehmen verifizieren
Verify your identity as a representative of {0} to activate this company on the Peppol network.,Verifizieren Sie Ihre Identität als Vertreter von {0}\, um dieses Unternehmen im Peppol-Netzwerk zu aktivieren.
Verifying...,Wird verifiziert...
View and manage integration state,Integrationsstatus anzeigen und verwalten
View and manage your customers (supporting data).,Kunden (Stammdaten) anzeigen und verwalten.
View and manage your suppliers (supporting data).,Lieferanten (Stammdaten) anzeigen und verwalten.
View and manage your transmitted Peppol documents.,Übertragene Peppol-Dokumente anzeigen und verwalten.
View Available Plans,Verfügbare Tarife anzeigen
View Verification Status,Verifizierungsstatus anzeigen
Volume-based,Volumenbasiert
We could not complete the verification flow for {0}.,Der Verifizierungsablauf für {0} konnte nicht abgeschlossen werden.
We could not prepare your mandate. Please try again.,Ihr Mandat konnte nicht vorbereitet werden. Bitte versuchen Sie es erneut.
We offer a variety of plans\, pick one that suits your needs.,Wir bieten verschiedene Tarife an. Wählen Sie den passenden für Ihren Bedarf.
Webhook URL,Webhook-URL
Webhooks and rules,Webhooks und Regeln
What do you want to use Recommand for with this company?,Wofür möchten Sie Recommand mit diesem Unternehmen verwenden?
When checked\, you are able to send and receive documents over the Peppol Test Network\, allowing communication with external Peppol participants. Do not enable this setting if you are not sure what you are doing. This setting cannot be changed after playground creation.,Wenn diese Option aktiviert ist\, können Sie Dokumente über das Peppol-Testnetzwerk senden und empfangen und so mit externen Peppol-Teilnehmern kommunizieren. Aktivieren Sie diese Einstellung nur\, wenn Sie mit ihrer Funktionsweise vertraut sind. Nach der Erstellung der Testumgebung kann sie nicht mehr geändert werden.
When to send email,Wann E-Mails gesendet werden sollen
With integrations\, you can:,Mit Integrationen können Sie:
XML,XML
XML and any document attachments are always included. You can also attach a generated document preview (PDF) and a small JSON document with key document details.,Die XML-Datei und alle Dokumentanhänge sind immer enthalten. Sie können außerdem eine erstellte Dokumentvorschau (PDF) und ein kleines JSON-Dokument mit den wichtigsten Dokumentdetails anhängen.
XML copied to clipboard,XML in die Zwischenablage kopiert
XML Document *,XML-Dokument *
XML downloaded,XML heruntergeladen
XML file is too large (max 5MB),XML-Datei ist zu groß (max. 5 MB)
Yellow,Gelb
Yes\, Cancel Subscription,Ja\, Abonnement kündigen
You can use HTML tags for formatting. The document will be attached as XML\, plus any embedded attachments (optionally including a generated PDF).,Sie können HTML-Tags zur Formatierung verwenden. Das Dokument wird als XML-Datei zusammen mit allen eingebetteten Anhängen angehängt (optional einschließlich eines erstellten PDFs).
You must be in a team to complete this step,Sie müssen Mitglied eines Teams sein\, um diesen Schritt abzuschließen
You sign this mandate with the identity check that follows.,Sie unterzeichnen dieses Mandat mit der anschließenden Identitätsprüfung.
You will be redirected to our verification partner to complete the identity check.,Sie werden zu unserem Verifizierungspartner weitergeleitet\, um die Identitätsprüfung abzuschließen.
You will be redirected to our verification partner. Your verified identity is the proof of signature that is recorded on the mandate.,Sie werden zu unserem Verifizierungspartner weitergeleitet. Ihre verifizierte Identität dient als Signaturnachweis und wird im Mandat festgehalten.
You will lose access to your current plan features at the end of the current month.,Am Ende des laufenden Monats verlieren Sie den Zugriff auf die Funktionen Ihres aktuellen Tarifs.
You will read and sign the mandate for this company before your identity is checked.,Sie lesen und unterzeichnen das Mandat für dieses Unternehmen\, bevor Ihre Identität geprüft wird.
